total_num_other_requests,total_num_write_requests,total_wait_cycles,total_num_read_requests,memory_system_cycles,total_rfm_cycles_rank1,total_rfm_cycles_rank0,avg_write_latency_0,write_depart_latency_0,avg_read_latency_0,read_queue_len_avg_0,write_queue_len_0,queue_len_0,num_other_reqs_0,num_write_reqs_0,read_latency_0,priority_queue_len_avg_0,row_hits_0,priority_queue_len_0,row_misses_0,row_conflicts_0,read_row_misses_0,queue_len_avg_0,read_row_conflicts_core_0,read_row_hits_0,write_queue_len_avg_0,read_row_conflicts_0,write_row_misses_0,write_row_conflicts_0,read_queue_len_0,write_row_hits_0,read_row_hits_core_0,read_row_misses_core_0,num_read_reqs_0,trace,slow_timing
0.0,3304.0,4623.0,996696.0,8640983.0,0.0,0.0,40057.8359,132351092.0,NaN,0.0,134908254.0,134929633.0,0.0,3304.0,0.0,0.00247413991,2697.0,21379.0,558.0,30.0,0.0,15.6150789,0.0,0.0,15.6126051,0.0,558.0,30.0,0.0,2697.0,0.0,0.0,0.0,602,DDR5_4800C
0.0,3304.0,5273.0,996696.0,8641540.0,0.0,0.0,40044.2305,132306133.0,NaN,0.0,134861923.0,134882492.0,0.0,3304.0,0.0,0.002380247,2699.0,20569.0,557.0,29.0,0.0,15.6086178,0.0,0.0,15.6062365,0.0,557.0,29.0,0.0,2699.0,0.0,0.0,0.0,602,DDR5_5200BN
0.0,3304.0,5283.0,996696.0,8641389.0,0.0,0.0,40033.5312,132270783.0,NaN,0.0,134832193.0,134850780.0,0.0,3304.0,0.0,0.00215092744,2698.0,18587.0,558.0,29.0,0.0,15.6052208,0.0,0.0,15.6030693,0.0,558.0,29.0,0.0,2698.0,0.0,0.0,0.0,602,DDR5_5200AN
0.0,3304.0,6535.0,996696.0,8644024.0,0.0,0.0,40050.168,132325756.0,NaN,0.0,134874503.0,134897539.0,0.0,3304.0,0.0,0.00266496255,2702.0,23036.0,556.0,27.0,0.0,15.6058722,0.0,0.0,15.6032066,0.0,556.0,27.0,0.0,2702.0,0.0,0.0,0.0,602,DDR5_5200C
0.0,3304.0,5054.0,996696.0,8641079.0,0.0,0.0,40087.1367,132447895.0,NaN,0.0,135008519.0,135028292.0,0.0,3304.0,0.0,0.00228825584,2695.0,19773.0,561.0,29.0,0.0,15.6263227,0.0,0.0,15.6240339,0.0,561.0,29.0,0.0,2695.0,0.0,0.0,0.0,602,DDR5_5600BN
0.0,3304.0,4777.0,996696.0,8641079.0,0.0,0.0,40083.1562,132434753.0,NaN,0.0,134998949.0,135016417.0,0.0,3304.0,0.0,0.00202150689,2695.0,17468.0,561.0,29.0,0.0,15.6249485,0.0,0.0,15.6229267,0.0,561.0,29.0,0.0,2695.0,0.0,0.0,0.0,602,DDR5_5600AN
0.0,3304.0,5025.0,996696.0,8641079.0,0.0,0.0,40087.6016,132449430.0,NaN,0.0,135007758.0,135029016.0,0.0,3304.0,0.0,0.00246010954,2695.0,21258.0,561.0,29.0,0.0,15.6264076,0.0,0.0,15.6239471,0.0,561.0,29.0,0.0,2695.0,0.0,0.0,0.0,602,DDR5_5600C
0.0,3304.0,7010.0,996696.0,8641389.0,0.0,0.0,39796.0234,131486064.0,NaN,0.0,133494702.0,133514328.0,0.0,3304.0,0.0,0.00227116258,2710.0,19626.0,548.0,29.0,0.0,15.4505634,0.0,0.0,15.4482927,0.0,548.0,29.0,0.0,2710.0,0.0,0.0,0.0,602,DDR5_6000BN
0.0,3304.0,6647.0,996696.0,8641309.0,0.0,0.0,39788.0547,131459728.0,NaN,0.0,133471297.0,133488696.0,0.0,3304.0,0.0,0.00201346818,2709.0,17399.0,549.0,29.0,0.0,15.4477406,0.0,0.0,15.4457264,0.0,549.0,29.0,0.0,2709.0,0.0,0.0,0.0,602,DDR5_6000AN
0.0,3304.0,10503.0,996696.0,8645485.0,0.0,0.0,40043.832,132304823.0,NaN,0.0,134848377.0,134870255.0,0.0,3304.0,0.0,0.00253056944,2699.0,21878.0,559.0,27.0,0.0,15.6000795,0.0,0.0,15.5975504,0.0,559.0,27.0,0.0,2699.0,0.0,0.0,0.0,602,DDR5_6000C
