total_num_other_requests,total_num_write_requests,total_wait_cycles,total_num_read_requests,memory_system_cycles,total_rfm_cycles_rank3,total_rfm_cycles_rank1,total_rfm_cycles_rank2,total_rfm_cycles_rank0,total_rfm_cycles_rank3_1,total_rfm_cycles_rank1_1,total_rfm_cycles_rank2_1,total_rfm_cycles_rank0_1,avg_write_latency_0,write_depart_latency_0,avg_read_latency_0,read_queue_len_avg_0,row_hit_rate_0,write_queue_len_0,queue_len_0,num_other_reqs_0,num_write_reqs_0,read_latency_0,priority_queue_len_avg_0,row_hits_0,priority_queue_len_0,row_misses_0,row_conflicts_0,read_row_misses_0,queue_len_avg_0,read_row_conflicts_core_0,read_row_hits_0,write_queue_len_avg_0,read_row_conflicts_0,write_row_misses_0,write_row_conflicts_0,read_queue_len_0,write_row_hits_0,read_row_hits_core_0,read_row_misses_core_0,num_read_reqs_0,avg_write_latency_0_1,write_depart_latency_0_1,avg_read_latency_0_1,read_queue_len_avg_0_1,row_hit_rate_0_1,write_queue_len_0_1,queue_len_0_1,num_other_reqs_0_1,num_write_reqs_0_1,read_latency_0_1,priority_queue_len_avg_0_1,row_hits_0_1,priority_queue_len_0_1,row_misses_0_1,row_conflicts_0_1,read_row_misses_0_1,queue_len_avg_0_1,read_row_conflicts_core_0_1,read_row_hits_0_1,write_queue_len_avg_0_1,read_row_conflicts_0_1,write_row_misses_0_1,write_row_conflicts_0_1,read_queue_len_0_1,write_row_hits_0_1,read_row_hits_core_0_1,read_row_misses_core_0_1,num_read_reqs_0_1,trace,timing
0.0,107651.0,12982.0,892349.0,8295136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1185.56665,127627442.0,4449.30469,32.9382973,0.67368418,126617331.0,449962064.0,0.0,107651.0,74431495519.0,0.0222957171,661956.0,184946.0,60281.0,260354.0,54752.0,54.2440834,0.0,574048.0,15.2640448,246158.0,5529.0,14196.0,273227662.0,87908.0,0.0,0.0,16728793.0,1149.65112,123761085.0,.,0.0,0.815790713,122726357.0,122851732.0,0.0,107651.0,0.0,0.0151142795,87806.0,125375.0,9931.0,9896.0,0.0,14.810092,0.0,0.0,14.7949791,0.0,9931.0,9896.0,0.0,87806.0,0.0,0.0,0.0,cc_road,DDR5_4800AN
0.0,107651.0,14194.0,892349.0,6602460.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,931.944763,100324788.0,4812.90918,32.8800583,0.701256216,99357316.0,364772938.0,0.0,107651.0,58789628065.0,0.0234670099,689121.0,154940.0,44444.0,249130.0,38668.0,55.2480316,0.0,601152.0,15.0485296,235238.0,5776.0,13892.0,217089280.0,87969.0,0.0,0.0,12214989.0,899.326355,96813384.0,.,0.0,0.820600748,95849959.0,95952616.0,0.0,107651.0,0.0,0.0155482953,88327.0,102657.0,8976.0,10334.0,0.0,14.5328579,0.0,0.0,14.5173101,0.0,8976.0,10334.0,0.0,88327.0,0.0,0.0,0.0,cc_road,DDR5_6400AN
0.0,158658.0,46210.0,841342.0,11284508.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1133.65723,179863785.0,5964.83301,32.9682655,0.401905954,175792517.0,600200396.0,0.0,158658.0,153827336063.0,0.0269148648,391034.0,303721.0,100484.0,481431.0,84386.0,53.1879959,0.0,293552.0,15.5782166,436376.0,16098.0,45055.0,372030654.0,97482.0,0.0,0.0,25789042.0,1057.2439,167740203.0,.,0.0,0.723194778,165158372.0,165342099.0,0.0,158658.0,0.0,0.0162813477,114724.0,183727.0,17090.0,26821.0,0.0,14.652132,0.0,0.0,14.63585,0.0,17090.0,26821.0,0.0,114724.0,0.0,0.0,0.0,pr_road,DDR5_3200AN
0.0,158658.0,34697.0,841342.0,8099757.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,799.040649,126774192.0,6060.24072,32.9510155,0.452199668,123512276.0,437676079.0,0.0,158658.0,104820175504.0,0.0260870792,440537.0,211299.0,74124.0,459548.0,58134.0,54.0357018,0.0,340968.0,15.2488861,416469.0,15990.0,43079.0,266895223.0,99569.0,0.0,0.0,17296373.0,746.591125,118452654.0,.,0.0,0.734767616,116195063.0,116328873.0,0.0,158658.0,0.0,0.0165202487,116565.0,133810.0,14296.0,27781.0,0.0,14.3620195,0.0,0.0,14.3455,0.0,14296.0,27781.0,0.0,116565.0,0.0,0.0,0.0,pr_road,DDR5_4800AN
0.0,158658.0,36548.0,841342.0,6636636.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,640.278748,101585347.0,6321.68359,32.9119568,0.493657082,98622188.0,362639874.0,0.0,158658.0,84677166343.0,0.027176721,481095.0,180362.0,57146.0,436312.0,40271.0,54.6421204,0.0,380454.0,14.8602686,395185.0,16875.0,41127.0,218424692.0,100641.0,0.0,0.0,13394717.0,595.001099,94401683.0,.,0.0,0.737902105,92268476.0,92390106.0,0.0,158658.0,0.0,0.0183270555,117063.0,121630.0,13023.0,28557.0,0.0,13.9212255,0.0,0.0,13.9028988,0.0,13023.0,28557.0,0.0,117063.0,0.0,0.0,0.0,pr_road,DDR5_6400AN
0.0,0.0,0.0,1000000.0,8934878.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,.,0.0,18.3331814,32.9857254,0.997298896,0.0,356837427.0,0.0,0.0,358826684.0,0.0130188679,997266.0,116322.0,2701.0,0.0,2701.0,39.9375839,0.0,997266.0,0.0,0.0,0.0,0.0,294723415.0,0.0,0.0,0.0,19572527.0,.,0.0,.,0.0,.,0.0,716.0,0.0,0.0,0.0,8.01353963,0.0,716.0,0.0,0.0,0.0,8.01353963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,DDR5_3200AN
0.0,0.0,0.0,1000000.0,7633623.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,.,0.0,19.1273994,32.9861107,0.997635901,0.0,307903381.0,0.0,0.0,307999239.0,0.0133611523,997603.0,101994.0,2364.0,0.0,2364.0,40.3351593,0.0,997603.0,0.0,0.0,0.0,0.0,251803523.0,0.0,0.0,0.0,16102515.0,.,0.0,.,0.0,.,0.0,612.0,0.0,0.0,0.0,8.01716305,0.0,612.0,0.0,0.0,0.0,8.01716305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,DDR5_4800AN
0.0,0.0,0.0,1000000.0,6679703.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,.,0.0,20.2388821,32.9780579,0.997891903,0.0,274371707.0,0.0,0.0,274413459.0,0.013497307,997859.0,90158.0,2108.0,0.0,2108.0,41.0754356,0.0,997859.0,0.0,0.0,0.0,0.0,220283631.0,0.0,0.0,0.0,13558727.0,.,0.0,.,0.0,.,0.0,535.0,0.0,0.0,0.0,8.00933849,0.0,535.0,0.0,0.0,0.0,8.00933849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,DDR5_6400AN
0.0,7099.0,437.0,992901.0,9400852.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20864.9043,148119953.0,18.0547333,32.9872055,0.980184972,148221727.0,520009324.0,0.0,7099.0,376499273.0,0.0129639311,980134.0,121872.0,11643.0,8171.0,10734.0,55.3151245,0.0,974669.0,15.76684,7465.0,909.0,706.0,310107836.0,5465.0,0.0,0.0,20853217.0,20839.0352,147936307.0,.,0.0,0.816666663,148068260.0,148109098.0,0.0,7099.0,0.0,0.00434407452,5782.0,40838.0,1155.0,143.0,0.0,15.7548599,0.0,0.0,15.750515,0.0,1155.0,143.0,0.0,5782.0,0.0,0.0,0.0,625,DDR5_3200AN
0.0,7099.0,172.0,992901.0,8143850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18034.8652,128029504.0,18.6100845,32.9861069,0.981392026,128093869.0,452428771.0,0.0,7099.0,325699030.0,0.0123063419,981341.0,100221.0,10242.0,8365.0,9356.0,55.5546532,0.0,975872.0,15.7289085,7640.0,886.0,725.0,268633904.0,5469.0,0.0,0.0,17501213.0,18004.0332,127810632.0,.,0.0,0.81878531,127896169.0,127934133.0,0.0,7099.0,0.0,0.00466167741,5797.0,37964.0,1140.0,143.0,0.0,15.7092943,0.0,0.0,15.7046318,0.0,1140.0,143.0,0.0,5797.0,0.0,0.0,0.0,625,DDR5_4800AN
