total_num_other_requests,total_num_write_requests,total_wait_cycles,total_num_read_requests,memory_system_cycles,total_rfm_cycles_rank1,total_rfm_cycles_rank0,avg_write_latency_0,write_depart_latency_0,avg_read_latency_0,read_queue_len_avg_0,row_hit_rate_0,write_queue_len_0,queue_len_0,num_other_reqs_0,num_write_reqs_0,read_latency_0,priority_queue_len_avg_0,row_hits_0,priority_queue_len_0,row_misses_0,row_conflicts_0,read_row_misses_0,queue_len_avg_0,read_row_conflicts_core_0,read_row_hits_0,write_queue_len_avg_0,read_row_conflicts_0,write_row_misses_0,write_row_conflicts_0,read_queue_len_0,write_row_hits_0,read_row_hits_core_0,read_row_misses_core_0,num_read_reqs_0,trace,timing,organization
0.0,111238.0,0.0,888762.0,10684722.0,0.0,0.0,1446.25159,160878131.0,NaN,0.0,0.553281963,158180728.0,158328440.0,0.0,111238.0,0.0,0.0138245989,61541.0,147712.0,17368.0,32320.0,0.0,14.8182096,0.0,0.0,14.8043852,0.0,17368.0,32320.0,0.0,61541.0,0.0,0.0,0.0,cc_twi,DDR5_6400AN,DDR5_design1
0.0,111238.0,0.0,888762.0,10839998.0,0.0,0.0,1463.38416,162783920.0,NaN,0.0,0.539187729,159824415.0,159980587.0,0.0,111238.0,0.0,0.0144070135,59969.0,156172.0,18438.0,32814.0,0.0,14.7583599,0.0,0.0,14.7439528,0.0,18438.0,32814.0,0.0,59969.0,0.0,0.0,0.0,cc_twi,DDR5_6400AN,DDR5_design2
0.0,107651.0,0.0,892349.0,14185049.0,0.0,0.0,2015.55298,216976282.0,NaN,0.0,0.824037671,215916820.0,216102555.0,0.0,107651.0,0.0,0.0130937155,88692.0,185735.0,14931.0,4008.0,0.0,15.2345304,0.0,0.0,15.2214365,0.0,14931.0,4008.0,0.0,88692.0,0.0,0.0,0.0,cc_road,DDR5_6400AN_BL,DDR5_baseline2
0.0,107651.0,0.0,892349.0,9856186.0,0.0,0.0,1381.76086,148747936.0,NaN,0.0,0.838182807,147812412.0,147947674.0,0.0,107651.0,0.0,0.0137235643,90222.0,135262.0,12898.0,4520.0,0.0,15.0106421,0.0,0.0,14.9969187,0.0,12898.0,4520.0,0.0,90222.0,0.0,0.0,0.0,cc_road,DDR5_6400AN,DDR5_ideal
0.0,107651.0,3.0,892349.0,10892053.0,0.0,0.0,1517.11169,163318593.0,NaN,0.0,0.816033959,162231649.0,162384040.0,0.0,107651.0,0.0,0.0139910262,87833.0,152391.0,11786.0,8015.0,0.0,14.9084873,0.0,0.0,14.8944969,0.0,11786.0,8015.0,0.0,87833.0,0.0,0.0,0.0,cc_road,DDR5_6400AN,DDR5_baseline1
0.0,107651.0,0.0,892349.0,10669657.0,0.0,0.0,1486.63806,160038083.0,NaN,0.0,0.822272003,159054946.0,159196545.0,0.0,107651.0,0.0,0.0132711856,88511.0,141599.0,11316.0,7815.0,0.0,14.9204931,0.0,0.0,14.9072218,0.0,11316.0,7815.0,0.0,88511.0,0.0,0.0,0.0,cc_road,DDR5_6400AN,DDR5_design1
0.0,107651.0,3.0,892349.0,10892053.0,0.0,0.0,1517.11169,163318593.0,NaN,0.0,0.816033959,162231649.0,162384040.0,0.0,107651.0,0.0,0.0139910262,87833.0,152391.0,11786.0,8015.0,0.0,14.9084873,0.0,0.0,14.8944969,0.0,11786.0,8015.0,0.0,87833.0,0.0,0.0,0.0,cc_road,DDR5_6400AN,DDR5_design2
0.0,158658.0,0.0,841342.0,13637785.0,0.0,0.0,1301.8103,206542629.0,NaN,0.0,0.73752749,204021278.0,204218736.0,0.0,158658.0,0.0,0.014478744,117008.0,197458.0,23488.0,18153.0,0.0,14.9744797,0.0,0.0,14.960001,0.0,23488.0,18153.0,0.0,117008.0,0.0,0.0,0.0,pr_road,DDR5_6400AN_BL,DDR5_baseline2
0.0,158658.0,0.0,841342.0,9719683.0,0.0,0.0,908.604492,144157371.0,NaN,0.0,0.764187515,142077534.0,142220183.0,0.0,158658.0,0.0,0.0146763017,121233.0,142649.0,19274.0,18136.0,0.0,14.6321821,0.0,0.0,14.617507,0.0,19274.0,18136.0,0.0,121233.0,0.0,0.0,0.0,pr_road,DDR5_6400AN,DDR5_ideal
0.0,158658.0,0.0,841342.0,10956566.0,0.0,0.0,1013.89807,160863044.0,NaN,0.0,0.698414683,158186825.0,158354605.0,0.0,158658.0,0.0,0.0153131923,110800.0,167780.0,17186.0,30659.0,0.0,14.4529419,0.0,0.0,14.4376287,0.0,17186.0,30659.0,0.0,110800.0,0.0,0.0,0.0,pr_road,DDR5_6400AN,DDR5_baseline1
