total_num_other_requests,total_num_write_requests,total_wait_cycles,total_num_read_requests,memory_system_cycles,total_rfm_cycles_rank1,total_rfm_cycles_rank0,avg_write_latency_0,write_depart_latency_0,avg_read_latency_0,read_queue_len_avg_0,row_hit_rate_0,write_queue_len_0,queue_len_0,num_other_reqs_0,num_write_reqs_0,read_latency_0,priority_queue_len_avg_0,row_hits_0,priority_queue_len_0,row_misses_0,row_conflicts_0,read_row_misses_0,queue_len_avg_0,read_row_conflicts_core_0,read_row_hits_0,write_queue_len_avg_0,read_row_conflicts_0,write_row_misses_0,write_row_conflicts_0,read_queue_len_0,write_row_hits_0,read_row_hits_core_0,read_row_misses_core_0,num_read_reqs_0,trace,timing,dw_tag
0.0,223140.0,128.0,803864.0,11486995.0,0.0,0.0,744.838989,166203376.0,NaN,0.0,0.608402967,161553908.0,161753209.0,0.0,223140.0,0.0,0.0173501428,135756.0,199301.0,21635.0,65744.0,0.0,14.0814209,0.0,0.0,14.0640697,0.0,21635.0,65744.0,0.0,135756.0,0.0,0.0,0.0,bfs_road,DDR5_6400AN,1
0.0,7225.0,0.0,992775.0,8773189.0,0.0,0.0,17429.334,125926941.0,NaN,0.0,0.435495079,125812365.0,125858514.0,0.0,7225.0,0.0,0.00526023097,3136.0,46149.0,3455.0,610.0,0.0,14.3458109,0.0,0.0,14.3405514,0.0,3455.0,610.0,0.0,3136.0,0.0,0.0,0.0,620,DDR5_6400AN,0
0.0,14325.0,0.0,992775.0,8891750.0,0.0,0.0,8625.56445,123561211.0,NaN,0.0,0.687722743,123328238.0,123392094.0,0.0,14325.0,0.0,0.00718148844,9842.0,63856.0,3868.0,601.0,0.0,13.8771439,0.0,0.0,13.8699627,0.0,3868.0,601.0,0.0,9842.0,0.0,0.0,0.0,620,DDR5_6400AN,1
0.0,315143.0,2527.0,684857.0,14260964.0,0.0,0.0,643.998413,202951607.0,NaN,0.0,0.909361482,201549594.0,201802819.0,0.0,315143.0,0.0,0.0177565143,286568.0,253225.0,13608.0,14955.0,0.0,14.1507139,0.0,0.0,14.1329575,0.0,13608.0,14955.0,0.0,286568.0,0.0,0.0,0.0,bc_web,DDR5_6400AN,0
0.0,471003.0,2199.0,684857.0,18398597.0,0.0,0.0,552.651306,260300411.0,NaN,0.0,0.933670938,258770179.0,259108359.0,0.0,471003.0,0.0,0.01838075,439745.0,338180.0,15700.0,15540.0,0.0,14.0830498,0.0,0.0,14.0646696,0.0,15700.0,15540.0,0.0,439745.0,0.0,0.0,0.0,bc_web,DDR5_6400AN,1
0.0,5.0,0.0,999995.0,8524064.0,0.0,0.0,0.0,0.0,NaN,0.0,NaN,20676158.0,20676841.0,0.0,5.0,0.0,8.01260976,0.0,683.0,0.0,0.0,0.0,2.4257021,0.0,0.0,2.42562199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,641,DDR5_6400AN,0
0.0,10.0,0.0,999995.0,8524064.0,0.0,0.0,0.0,0.0,NaN,0.0,NaN,41352311.0,41352994.0,0.0,10.0,0.0,8.01260976,0.0,683.0,0.0,0.0,0.0,4.8513236,0.0,0.0,4.8512435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,641,DDR5_6400AN,1
0.0,3454.0,0.0,996546.0,11482969.0,0.0,0.0,52312.293,180686662.0,NaN,0.0,0.440988362,182381861.0,182402379.0,0.0,3454.0,0.0,0.00178682012,1517.0,20518.0,216.0,1707.0,0.0,15.8846016,0.0,0.0,15.8828135,0.0,216.0,1707.0,0.0,1517.0,0.0,0.0,0.0,607,DDR5_6400AN,0
0.0,6908.0,0.0,996546.0,11775306.0,0.0,0.0,27505.0,190004551.0,NaN,0.0,0.571304321,190408629.0,190437184.0,0.0,6908.0,0.0,0.00242499006,3942.0,28555.0,283.0,2675.0,0.0,16.1725883,0.0,0.0,16.1701641,0.0,283.0,2675.0,0.0,3942.0,0.0,0.0,0.0,607,DDR5_6400AN,1
0.0,487.0,0.0,999513.0,8631384.0,0.0,0.0,341547.719,166333740.0,NaN,0.0,0.646569669,167606074.0,167608258.0,0.0,487.0,0.0,0.000253030099,311.0,2184.0,139.0,31.0,0.0,19.4184685,0.0,0.0,19.4182167,0.0,139.0,31.0,0.0,311.0,0.0,0.0,0.0,623,DDR5_6400AN,0
