total_num_other_requests,total_num_write_requests,total_wait_cycles,total_num_read_requests,memory_system_cycles,total_rfm_cycles_rank1,total_rfm_cycles_rank0,total_rfm_cycles_rank1_1,total_rfm_cycles_rank0_1,avg_write_latency_0,write_depart_latency_0,avg_read_latency_0,read_queue_len_avg_0,row_hit_rate_0,write_queue_len_0,queue_len_0,num_other_reqs_0,num_write_reqs_0,read_latency_0,priority_queue_len_avg_0,row_hits_0,priority_queue_len_0,row_misses_0,row_conflicts_0,read_row_misses_0,queue_len_avg_0,read_row_conflicts_core_0,read_row_hits_0,write_queue_len_avg_0,read_row_conflicts_0,write_row_misses_0,write_row_conflicts_0,read_queue_len_0,write_row_hits_0,read_row_hits_core_0,read_row_misses_core_0,num_read_reqs_0,avg_write_latency_0_1,write_depart_latency_0_1,avg_read_latency_0_1,read_queue_len_avg_0_1,row_hit_rate_0_1,write_queue_len_0_1,queue_len_0_1,num_other_reqs_0_1,num_write_reqs_0_1,read_latency_0_1,priority_queue_len_avg_0_1,row_hits_0_1,priority_queue_len_0_1,row_misses_0_1,row_conflicts_0_1,read_row_misses_0_1,queue_len_avg_0_1,read_row_conflicts_core_0_1,read_row_hits_0_1,write_queue_len_avg_0_1,read_row_conflicts_0_1,write_row_misses_0_1,write_row_conflicts_0_1,read_queue_len_0_1,write_row_hits_0_1,read_row_hits_core_0_1,read_row_misses_core_0_1,num_read_reqs_0_1,trace,timing,probability
0.0,5.0,0.0,1000005.0,8762564.0,0.0,0.0,0.0,0.0,0.0,0.0,18.5813446,32.999527,0.987320662,21259087.0,364522192.0,0.0,5.0,345885870.0,0.01192482,987293.0,104492.0,9444.0,3235.0,9444.0,41.5999451,0.0,987293.0,2.42612648,3235.0,0.0,0.0,289160491.0,0.0,0.0,0.0,18614684.0,0.0,0.0,.,0.0,.,21259087.0,21259790.0,0.0,5.0,0.0,8.02276627,0.0,703.0,0.0,0.0,0.0,2.42620659,0.0,0.0,2.42612648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,641,DDR5_6400AN,1e-05
0.0,3454.0,0.0,996555.0,11808345.0,0.0,0.0,0.0,0.0,53787.4844,185781964.0,16.5173512,32.9990692,0.850488305,187656213.0,631293483.0,0.0,3454.0,459032814.0,0.0136185046,850456.0,160812.0,19602.0,129904.0,19426.0,53.4616394,0.0,848939.0,15.8918295,128157.0,176.0,1747.0,389664424.0,1517.0,0.0,0.0,27790945.0,53752.5508,185661314.0,.,0.0,0.439534873,187582636.0,187606072.0,0.0,3454.0,0.0,0.001984698,1512.0,23436.0,223.0,1705.0,0.0,15.8875847,0.0,0.0,15.8855991,0.0,223.0,1705.0,0.0,1512.0,0.0,0.0,0.0,607,DDR5_6400AN,1e-05
0.0,487.0,0.0,999521.0,8872936.0,0.0,0.0,0.0,0.0,351139.812,171005093.0,18.9124508,32.9979668,0.929558039,172306009.0,519181305.0,0.0,487.0,355002391.0,0.0128894197,929532.0,114367.0,30405.0,40035.0,30335.0,58.5129089,0.0,929258.0,19.4192791,39896.0,70.0,139.0,292788841.0,274.0,0.0,0.0,18770830.0,351100.156,170985778.0,.,0.0,0.617463589,172290417.0,172292806.0,0.0,487.0,0.0,0.000269245706,297.0,2389.0,152.0,32.0,0.0,19.4177895,0.0,0.0,19.4175205,0.0,152.0,32.0,0.0,297.0,0.0,0.0,0.0,623,DDR5_6400AN,1e-05
0.0,46630.0,0.0,953376.0,10481034.0,0.0,0.0,0.0,0.0,3504.5752,163418342.0,3072.18579,32.9965935,0.15240404,162568110.0,560037150.0,0.0,46630.0,74876957601.0,0.0198079702,150287.0,207608.0,62715.0,773107.0,57767.0,53.4333839,0.0,121372.0,15.5106945,760358.0,4948.0,12749.0,345838430.0,28915.0,0.0,0.0,24372537.0,3436.36353,160237632.0,.,0.0,0.716811121,159599070.0,159726181.0,0.0,46630.0,0.0,0.0121277161,33412.0,127111.0,8586.0,4614.0,0.0,15.2395439,0.0,0.0,15.227417,0.0,8586.0,4614.0,0.0,33412.0,0.0,0.0,0.0,pr_twi,DDR5_6400AN,1e-05
0.0,516.0,0.0,999496.0,9571424.0,0.0,0.0,0.0,0.0,307587.531,158715161.0,17.6608887,32.9985161,0.912045896,159808920.0,529751069.0,0.0,516.0,377387059.0,0.0134386485,912014.0,128627.0,34875.0,53076.0,34771.0,55.3471527,0.0,911695.0,16.6964626,52998.0,104.0,78.0,315842784.0,319.0,0.0,0.0,21368522.0,307432.469,158635151.0,.,0.0,0.634000003,159803516.0,159807687.0,0.0,516.0,0.0,0.000435776339,317.0,4171.0,173.0,10.0,0.0,16.6963329,0.0,0.0,16.6958981,0.0,173.0,10.0,0.0,317.0,0.0,0.0,0.0,600,DDR5_6400AN,1e-05
0.0,3612.0,0.0,996398.0,9021356.0,0.0,0.0,0.0,0.0,25100.9434,90664606.0,18.0892277,32.9994888,0.959346592,100711515.0,452325895.0,0.0,3612.0,355401781.0,0.0122762034,959314.0,110748.0,14897.0,25755.0,14709.0,50.1394577,0.0,956142.0,11.1636782,25515.0,188.0,240.0,297700120.0,3172.0,0.0,0.0,19647151.0,25074.6719,90569714.0,.,0.0,0.909722209,100622276.0,100632132.0,0.0,3612.0,0.0,0.00109251868,3275.0,9856.0,280.0,45.0,0.0,11.1548786,0.0,0.0,11.1537857,0.0,280.0,45.0,0.0,3275.0,0.0,0.0,0.0,621,DDR5_6400AN,1e-05
0.0,179182.0,48.0,820821.0,10782588.0,0.0,0.0,0.0,0.0,937.932861,168060684.0,16253.4863,32.9888191,0.212284967,162290946.0,562146656.0,0.0,179182.0,413180125125.0,0.0222254619,194570.0,239648.0,77806.0,644175.0,51775.0,52.1346703,0.0,123026.0,15.0512047,562593.0,26031.0,81582.0,355704870.0,71544.0,0.0,0.0,25421015.0,882.645996,158154280.0,.,0.0,0.497756183,153276367.0,153451005.0,0.0,179182.0,0.0,0.0161962975,89177.0,174638.0,20207.0,69774.0,0.0,14.2313709,0.0,0.0,14.2151747,0.0,20207.0,69774.0,0.0,89177.0,0.0,0.0,0.0,bc_twi,DDR5_6400AN,1e-05
0.0,3841.0,0.0,996168.0,8941470.0,0.0,0.0,0.0,0.0,30063.1191,115472443.0,17.1482639,32.9995918,0.982277215,121526627.0,470485018.0,0.0,3841.0,351125729.0,0.0114585189,982233.0,102456.0,6906.0,10816.0,6738.0,52.618309,0.0,978695.0,13.5913477,10702.0,168.0,114.0,295064855.0,3538.0,0.0,0.0,20475875.0,30029.5117,115343352.0,.,0.0,0.929057598,121397841.0,121414476.0,0.0,3841.0,0.0,0.00186043233,3549.0,16635.0,269.0,2.0,0.0,13.578805,0.0,0.0,13.5769444,0.0,269.0,2.0,0.0,3549.0,0.0,0.0,0.0,628,DDR5_6400AN,1e-05
0.0,51664.0,0.0,948346.0,10096940.0,0.0,0.0,0.0,0.0,3036.39355,156872246.0,3683.67456,32.9956284,0.566162825,156244299.0,540735353.0,0.0,51664.0,85242585675.0,0.0174078476,556636.0,175766.0,92402.0,334135.0,88738.0,53.5543785,0.0,520120.0,15.4744215,322675.0,3664.0,11460.0,333154895.0,36516.0,0.0,0.0,23140640.0,2983.07739,154117715.0,.,0.0,0.747095287,153586329.0,153709946.0,0.0,51664.0,0.0,0.0122430166,38580.0,123617.0,8728.0,4332.0,0.0,15.2234192,0.0,0.0,15.2111769,0.0,8728.0,4332.0,0.0,38580.0,0.0,0.0,0.0,pr_web,DDR5_6400AN,1e-05
0.0,98.0,0.0,999914.0,8844894.0,0.0,0.0,0.0,0.0,1121539.62,109910888.0,18.1934166,32.9988251,0.964895666,127808502.0,473788073.0,0.0,98.0,350511321.0,0.0130125927,964859.0,115095.0,17947.0,17156.0,17941.0,53.5662804,0.0,964813.0,14.449976,17127.0,6.0,29.0,291871112.0,46.0,0.0,0.0,19265834.0,1135572.12,111286064.0,.,0.0,0.5625,127807870.0,127809039.0,0.0,98.0,0.0,0.00013216665,45.0,1169.0,13.0,22.0,0.0,14.450036,0.0,0.0,14.4499044,0.0,13.0,22.0,0.0,45.0,0.0,0.0,0.0,649,DDR5_6400AN,1e-05
0.0,18873.0,0.0,981134.0,10211849.0,0.0,0.0,0.0,0.0,8386.35742,158275725.0,2023.7179,32.997364,0.157836407,157790382.0,547898040.0,0.0,18873.0,47957507748.0,0.019592436,156390.0,200075.0,64152.0,770294.0,61897.0,53.6531677,0.0,147101.0,15.4516954,762983.0,2255.0,7311.0,336964082.0,9289.0,0.0,0.0,23697723.0,8332.82129,157265348.0,.,0.0,0.511906683,156763858.0,156863043.0,0.0,18873.0,0.0,0.00971273705,9652.0,99185.0,6765.0,2438.0,0.0,15.3608856,0.0,0.0,15.3511724,0.0,6765.0,2438.0,0.0,9652.0,0.0,0.0,0.0,bfs_twi,DDR5_6400AN,1e-05
0.0,241354.0,78.0,758648.0,11664585.0,0.0,0.0,0.0,0.0,755.041626,182232320.0,15353.5723,32.9832726,0.187434897,172922998.0,598494683.0,0.0,241354.0,419643927385.0,0.0232653804,173841.0,271381.0,88539.0,665094.0,46816.0,51.3086967,0.0,106673.0,14.8246155,532642.0,41723.0,132452.0,384736181.0,67168.0,0.0,0.0,27332006.0,703.267273,169736367.0,.,0.0,0.364673376,161445082.0,161656604.0,0.0,241354.0,0.0,0.0181336924,88011.0,211522.0,21438.0,131893.0,0.0,13.8587532,0.0,0.0,13.84062,0.0,21438.0,131893.0,0.0,88011.0,0.0,0.0,0.0,bc_road,DDR5_6400AN,1e-05
0.0,27.0,0.0,999980.0,8892750.0,0.0,0.0,0.0,0.0,2030647.25,54827476.0,18.6468887,32.9993057,0.937793911,83636506.0,431202911.0,0.0,27.0,362821710.0,0.0129209748,937762.0,114903.0,26099.0,36105.0,26098.0,48.4892654,0.0,937757.0,9.40502167,36091.0,1.0,14.0,293454576.0,5.0,0.0,0.0,19457493.0,2030642.25,54827339.0,.,0.0,0.238095239,79757579.0,79758430.0,0.0,27.0,0.0,9.56959339,5.0,851.0,14.0,2.0,0.0,8.96892738,0.0,0.0,8.96883106,0.0,14.0,2.0,0.0,5.0,0.0,0.0,0.0,605,DDR5_6400AN,1e-05
0.0,17208.0,0.0,982802.0,12729268.0,0.0,0.0,0.0,0.0,11912.0293,204982193.0,16.0258408,32.9991188,0.870260239,204847137.0,678137795.0,0.0,17208.0,480905479.0,0.0130968252,870235.0,166713.0,33736.0,96000.0,32945.0,53.2739029,0.0,857039.0,16.0926094,92787.0,791.0,3213.0,420054629.0,13196.0,0.0,0.0,30008129.0,11890.8154,204617159.0,.,0.0,0.770639539,204491749.0,204552001.0,0.0,17208.0,0.0,0.00473334361,13255.0,60252.0,793.0,3152.0,0.0,16.0694237,0.0,0.0,16.0646896,0.0,793.0,3152.0,0.0,13255.0,0.0,0.0,0.0,603,DDR5_6400AN,1e-05
