total_num_other_requests,total_num_write_requests,total_wait_cycles,total_num_read_requests,memory_system_cycles,total_rfm_cycles_rank1,total_rfm_cycles_rank0,avg_write_latency_0,write_depart_latency_0,avg_read_latency_0,read_queue_len_avg_0,row_hit_rate_0,write_queue_len_0,queue_len_0,num_other_reqs_0,num_write_reqs_0,read_latency_0,priority_queue_len_avg_0,row_hits_0,priority_queue_len_0,row_misses_0,row_conflicts_0,read_row_misses_0,queue_len_avg_0,read_row_conflicts_core_0,read_row_hits_0,write_queue_len_avg_0,read_row_conflicts_0,write_row_misses_0,write_row_conflicts_0,read_queue_len_0,write_row_hits_0,read_row_hits_core_0,read_row_misses_core_0,num_read_reqs_0,trace,slow_timing,folder
0.0,107651.0,0.0,892349.0,10393700.0,0.0,0.0,1446.91467,155761809.0,NaN,0.0,0.822423935,154777591.0,154918121.0,0.0,107651.0,0.0,0.0135206906,88529.0,140530.0,11223.0,7892.0,0.0,14.9050026,0.0,0.0,14.8914804,0.0,11223.0,7892.0,0.0,88529.0,0.0,0.0,0.0,cc_road,DDR5_6400AN,wb_short_trace
0.0,231745.0,9.0,841342.0,19924664.0,0.0,0.0,1293.98645,299874887.0,NaN,0.0,0.553224266,292968979.0,293339181.0,0.0,231745.0,0.0,0.0185800884,128197.0,370202.0,32323.0,71207.0,0.0,14.722415,0.0,0.0,14.7038364,0.0,32323.0,71207.0,0.0,128197.0,0.0,0.0,0.0,pr_road,DDR5_3200AN,modified_doubleW_traces
0.0,231745.0,28.0,841342.0,11880202.0,0.0,0.0,745.757141,172825493.0,NaN,0.0,0.585374475,167703438.0,167898855.0,0.0,231745.0,0.0,0.0164489634,135650.0,195417.0,22703.0,73379.0,0.0,14.132659,0.0,0.0,14.1162109,0.0,22703.0,73379.0,0.0,135650.0,0.0,0.0,0.0,pr_road,DDR5_6400AN,modified_doubleW_traces
0.0,158658.0,0.0,841342.0,18037582.0,0.0,0.0,1722.76086,273329797.0,NaN,0.0,0.678263247,269998044.0,270296160.0,0.0,158658.0,0.0,0.0165274926,107599.0,298116.0,22650.0,28390.0,0.0,14.9851656,0.0,0.0,14.9686384,0.0,22650.0,28390.0,0.0,107599.0,0.0,0.0,0.0,pr_road,DDR5_3200AN,wb_short_trace
0.0,158658.0,0.0,841342.0,10435286.0,0.0,0.0,968.079773,153593597.0,NaN,0.0,0.709751427,151171521.0,151331025.0,0.0,158658.0,0.0,0.0152850626,112590.0,159504.0,16164.0,29879.0,0.0,14.5018568,0.0,0.0,14.4865723,0.0,16164.0,29879.0,0.0,112590.0,0.0,0.0,0.0,pr_road,DDR5_6400AN,wb_short_trace
0.0,0.0,0.0,1000000.0,17017113.0,0.0,0.0,NaN,0.0,NaN,0.0,NaN,0.0,1365.0,0.0,0.0,0.0,8.02133727,0.0,1365.0,0.0,0.0,0.0,8.02133727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,DDR5_3200AN,modified_doubleW_traces
0.0,0.0,0.0,1000000.0,8502930.0,0.0,0.0,NaN,0.0,NaN,0.0,NaN,0.0,682.0,0.0,0.0,0.0,8.02076465,0.0,682.0,0.0,0.0,0.0,8.02076465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,DDR5_6400AN,modified_doubleW_traces
0.0,0.0,0.0,1000000.0,17017113.0,0.0,0.0,NaN,0.0,NaN,0.0,NaN,0.0,1365.0,0.0,0.0,0.0,8.02133727,0.0,1365.0,0.0,0.0,0.0,8.02133727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,DDR5_3200AN,wb_short_trace
0.0,0.0,0.0,1000000.0,8502930.0,0.0,0.0,NaN,0.0,NaN,0.0,NaN,0.0,682.0,0.0,0.0,0.0,8.02076465,0.0,682.0,0.0,0.0,0.0,8.02076465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,DDR5_6400AN,wb_short_trace
0.0,14126.0,0.0,992901.0,17312371.0,0.0,0.0,19276.3164,272297255.0,NaN,0.0,0.765277207,272463245.0,272557598.0,0.0,14126.0,0.0,0.00545003312,10795.0,94353.0,3127.0,184.0,0.0,15.743516,0.0,0.0,15.7380648,0.0,3127.0,184.0,0.0,10795.0,0.0,0.0,0.0,625,DDR5_3200AN,modified_doubleW_traces
