total_num_other_requests,total_num_write_requests,total_wait_cycles,total_num_read_requests,memory_system_cycles,total_rfm_cycles_rank1,total_rfm_cycles_rank0,total_rfm_cycles_rank1_1,total_rfm_cycles_rank0_1,avg_write_latency_0,write_depart_latency_0,avg_read_latency_0,read_queue_len_avg_0,row_hit_rate_0,write_queue_len_0,queue_len_0,num_other_reqs_0,num_write_reqs_0,read_latency_0,priority_queue_len_avg_0,row_hits_0,priority_queue_len_0,row_misses_0,row_conflicts_0,read_row_misses_0,queue_len_avg_0,read_row_conflicts_core_0,read_row_hits_0,write_queue_len_avg_0,read_row_conflicts_0,write_row_misses_0,write_row_conflicts_0,read_queue_len_0,write_row_hits_0,read_row_hits_core_0,read_row_misses_core_0,num_read_reqs_0,avg_write_latency_0_1,write_depart_latency_0_1,avg_read_latency_0_1,read_queue_len_avg_0_1,row_hit_rate_0_1,write_queue_len_0_1,queue_len_0_1,num_other_reqs_0_1,num_write_reqs_0_1,read_latency_0_1,priority_queue_len_avg_0_1,row_hits_0_1,priority_queue_len_0_1,row_misses_0_1,row_conflicts_0_1,read_row_misses_0_1,queue_len_avg_0_1,read_row_conflicts_core_0_1,read_row_hits_0_1,write_queue_len_avg_0_1,read_row_conflicts_0_1,write_row_misses_0_1,write_row_conflicts_0_1,read_queue_len_0_1,write_row_hits_0_1,read_row_hits_core_0_1,read_row_misses_core_0_1,num_read_reqs_0_1,trace,timing
0.0,0.0,0.0,1000000.0,14456311.0,0.0,0.0,0.0,0.0,.,0.0,15.5524168,32.9998894,0.994489789,0.0,533248445.0,0.0,0.0,533391090.0,0.0134043191,994457.0,193777.0,5510.0,0.0,5510.0,36.886898,0.0,994457.0,0.0,0.0,0.0,0.0,477056687.0,0.0,0.0,0.0,34296349.0,.,0.0,.,0.0,.,0.0,1159.0,0.0,0.0,0.0,8.01725982,0.0,1159.0,0.0,0.0,0.0,8.01725982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,DDR5_4800AN
0.0,0.0,0.0,1000000.0,12293723.0,0.0,0.0,0.0,0.0,.,0.0,16.1217403,32.9998741,0.995293856,0.0,459855543.0,0.0,0.0,459944353.0,0.0135207213,995261.0,166220.0,4706.0,0.0,4706.0,37.4057198,0.0,995261.0,0.0,0.0,0.0,0.0,405691315.0,0.0,0.0,0.0,28529447.0,.,0.0,.,0.0,.,0.0,986.0,0.0,0.0,0.0,8.02035283,0.0,986.0,0.0,0.0,0.0,8.02035283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,DDR5_6400AN
0.0,7099.0,0.0,992901.0,14994743.0,0.0,0.0,0.0,0.0,33123.0938,235140843.0,15.4593,32.9996834,0.971154511,235363673.0,785967525.0,0.0,7099.0,552983184.0,0.0121108443,971104.0,181599.0,20079.0,8765.0,18721.0,52.4162064,0.0,965815.0,15.696413,8332.0,1358.0,433.0,494821795.0,5289.0,0.0,0.0,35770259.0,33058.8945,234685090.0,.,0.0,0.748022616,234908667.0,234954228.0,0.0,7099.0,0.0,0.00303846481,5296.0,45561.0,1730.0,54.0,0.0,15.6691065,0.0,0.0,15.666069,0.0,1730.0,54.0,0.0,5296.0,0.0,0.0,0.0,625,DDR5_4800AN
0.0,7099.0,0.0,992901.0,13062457.0,0.0,0.0,0.0,0.0,28860.7012,204882115.0,15.8928537,32.9996262,0.973915637,205015330.0,689844252.0,0.0,7099.0,486599377.0,0.012098643,973865.0,158038.0,17053.0,9030.0,15710.0,52.8112144,0.0,968579.0,15.6950054,8579.0,1343.0,451.0,431056194.0,5286.0,0.0,0.0,30617497.0,28842.918,204755877.0,.,0.0,0.749576271,204889583.0,204935596.0,0.0,7099.0,0.0,0.00352253788,5307.0,46013.0,1704.0,69.0,0.0,15.6889009,0.0,0.0,15.685379,0.0,1704.0,69.0,0.0,5307.0,0.0,0.0,0.0,625,DDR5_6400AN
0.0,196136.0,25.0,803864.0,12630922.0,0.0,0.0,0.0,0.0,1030.98828,202213921.0,10760.1289,32.9881821,0.346966892,196614088.0,658426207.0,0.0,196136.0,318406018403.0,0.0284904782,329418.0,359861.0,120648.0,499356.0,98501.0,52.1281166,0.0,214368.0,15.5660906,440439.0,22147.0,58917.0,416671133.0,115050.0,0.0,0.0,29591284.0,948.843994,186102463.0,.,0.0,0.623727143,181466357.0,181694232.0,0.0,196136.0,0.0,0.0180410426,122321.0,227875.0,32062.0,41730.0,0.0,14.3848753,0.0,0.0,14.3668337,0.0,32062.0,41730.0,0.0,122321.0,0.0,0.0,0.0,bfs_road,DDR5_4800AN
0.0,196136.0,94.0,803864.0,10128041.0,0.0,0.0,0.0,0.0,809.438171,158759960.0,11095.1338,32.9789124,0.393639624,154200733.0,531732182.0,0.0,196136.0,254266434922.0,0.0277826674,373738.0,281384.0,93013.0,482691.0,71422.0,52.5009918,0.0,256960.0,15.2251291,424938.0,21591.0,57753.0,334011777.0,116778.0,0.0,0.0,22916934.0,746.451172,146405946.0,.,0.0,0.633768797,142314188.0,142504136.0,0.0,196136.0,0.0,0.0187546629,124296.0,189948.0,27950.0,43876.0,0.0,14.0702562,0.0,0.0,14.0515022,0.0,27950.0,43876.0,0.0,124296.0,0.0,0.0,0.0,bfs_road,DDR5_6400AN
0.0,7225.0,0.0,992775.0,13782102.0,0.0,0.0,0.0,0.0,27265.7676,196995165.0,15.8962355,32.9988937,0.911917865,196921321.0,707504250.0,0.0,7225.0,518611069.0,0.014177083,911865.0,195390.0,52305.0,35772.0,50095.0,51.3350029,0.0,908968.0,14.2881927,33679.0,2210.0,2093.0,454794158.0,2897.0,0.0,0.0,32624772.0,27247.252,196861398.0,.,0.0,0.402361125,196782556.0,196837219.0,0.0,7225.0,0.0,0.0039662309,2897.0,54663.0,4064.0,239.0,0.0,14.2820892,0.0,0.0,14.2781239,0.0,4064.0,239.0,0.0,2897.0,0.0,0.0,0.0,620,DDR5_4800AN
0.0,7225.0,0.0,992775.0,11054516.0,0.0,0.0,0.0,0.0,21787.0293,157411287.0,16.7438107,32.9984856,0.920031369,157343182.0,575891898.0,0.0,7225.0,424475807.0,0.0143430978,919978.0,158556.0,42728.0,37236.0,40639.0,52.095623,0.0,917044.0,14.2333851,35059.0,2089.0,2177.0,364782302.0,2934.0,0.0,0.0,25351209.0,21770.9922,157295428.0,.,0.0,0.409999996,157193678.0,157245683.0,0.0,7225.0,0.0,0.00470441207,2952.0,52005.0,4042.0,206.0,0.0,14.2245646,0.0,0.0,14.219861,0.0,4042.0,206.0,0.0,2952.0,0.0,0.0,0.0,620,DDR5_6400AN
0.0,315143.0,579.0,684857.0,16404011.0,0.0,0.0,0.0,0.0,788.760864,248572463.0,2209.35962,32.9968185,0.878367424,247694991.0,827666098.0,0.0,315143.0,87135815862.0,0.023876356,857486.0,391668.0,53794.0,64947.0,47579.0,50.4551048,0.0,558716.0,15.0996599,54804.0,6215.0,10143.0,541280222.0,298770.0,0.0,0.0,39439399.0,757.670532,238774555.0,.,0.0,0.922127843,237458753.0,237805220.0,0.0,315143.0,0.0,0.0211208705,290592.0,346467.0,16894.0,7646.0,0.0,14.4967728,0.0,0.0,14.4756517,0.0,16894.0,7646.0,0.0,290592.0,0.0,0.0,0.0,bc_web,DDR5_4800AN
0.0,315143.0,925.0,684857.0,14281825.0,0.0,0.0,0.0,0.0,674.758362,212645378.0,2274.65186,32.9952049,0.890590072,211834143.0,720352100.0,0.0,315143.0,76838273190.0,0.0243419167,869443.0,347647.0,44531.0,62281.0,38509.0,50.4383812,0.0,570289.0,14.832428,52338.0,6022.0,9943.0,471231759.0,299154.0,0.0,0.0,33780237.0,647.44696,204038374.0,.,0.0,0.924895048,202832571.0,203142318.0,0.0,315143.0,0.0,0.0216881949,291452.0,309747.0,15754.0,7913.0,0.0,14.223835,0.0,0.0,14.2021465,0.0,15754.0,7913.0,0.0,291452.0,0.0,0.0,0.0,bc_web,DDR5_6400AN
