config,trace,memory_access_cycles_recorded_core_0,cycles_recorded_core_0,llc_mshr_unavailable,llc_read_misses,llc_read_access,llc_write_misses,llc_write_access,llc_eviction,num_expected_insts,total_num_other_requests,total_num_write_requests,total_num_read_requests,memory_system_cycles,avg_write_latency_0,avg_read_latency_0,read_queue_len_avg_0,write_latency_0,write_queue_len_0,queue_len_0,num_other_reqs_0,num_write_reqs_0,read_latency_0,priority_queue_len_avg_0,row_hits_0,priority_queue_len_0,row_misses_0,row_conflicts_0,read_row_misses_0,queue_len_avg_0,read_row_conflicts_core_0,read_row_hits_0,write_queue_len_avg_0,read_row_conflicts_0,write_row_misses_0,write_row_conflicts_0,read_queue_len_0,write_row_hits_0,read_row_hits_core_0,read_row_misses_core_0,num_read_reqs_0,total_rfm_cycles_rank1,total_rfm_cycles_rank0
DDR4_3200W_x16_cfg.yaml,603,6713189.0,21703711.0,480037.0,652336.0,4143877.0,1077.0,517605.0,106682.0,10000000.0,0.0,192.0,123066.0,8138892.0,73.0625,390.358521,4.88858891,14028.0,166090.0,39997971.0,0.0,192.0,48039861.0,0.00542911747,33959.0,44187.0,2709.0,86590.0,2704.0,4.9144249,86453.0,33909.0,0.020406954,86453.0,5.0,137.0,39787694.0,50.0,33909.0,2704.0,123066.0,NaN,NaN
DDR4_3200W_x16_cfg.yaml,607,18240359.0,48650459.0,2200704.0,4500764.0,4624688.0,194548.0,909548.0,1259510.0,10000000.0,0.0,25715.0,1275888.0,18243922.0,49.0415726,171.365372,9.78758621,1261104.0,85178542.0,263856897.0,0.0,25715.0,218643018.0,0.00627025263,1138494.0,114394.0,6547.0,156556.0,5622.0,14.4627285,153773.0,1116491.0,4.66887236,153773.0,925.0,2783.0,178563961.0,22003.0,1116491.0,5622.0,1275888.0,NaN,NaN
DDR4_3200W_x16_cfg.yaml,619,2393342.0,9247038.0,0.0,894190.0,2690737.0,62012.0,1689440.0,127542.0,10000000.0,0.0,20232.0,143926.0,3467639.0,55.2139168,86.3120575,2.33966422,1117088.0,5109468.0,13243192.0,0.0,20232.0,12422549.0,0.00594439032,143716.0,20613.0,1845.0,18597.0,1757.0,3.81908035,12969.0,129200.0,1.47347176,12969.0,88.0,5628.0,8113111.0,14516.0,129200.0,1757.0,143926.0,NaN,NaN
DDR4_3200W_x16_cfg.yaml,621,4052466.0,13162130.0,54981.0,766762.0,3791629.0,23071.0,453745.0,290496.0,10000000.0,0.0,4544.0,306880.0,4935799.0,68.8195419,76.9193573,2.82323623,312716.0,2605112.0,16571222.0,0.0,4544.0,23605012.0,0.00631772075,268235.0,31183.0,7296.0,35893.0,7281.0,3.35735345,33081.0,266518.0,0.527799428,33081.0,15.0,2812.0,13934927.0,1717.0,266518.0,7281.0,306880.0,NaN,NaN
DDR4_3200W_x16_cfg.yaml,628,1175375.0,8232117.0,29536.0,219493.0,2886771.0,38907.0,2677094.0,54746.0,10000000.0,0.0,1187.0,71130.0,3087044.0,70.2847519,100.912483,1.52283216,83428.0,686837.0,5404557.0,0.0,1187.0,7177905.0,0.00539998803,58010.0,16670.0,2528.0,11779.0,2520.0,1.75072241,11003.0,57607.0,0.222490191,11003.0,8.0,776.0,4701050.0,403.0,57607.0,2520.0,71130.0,NaN,NaN
DDR4_3200W_x16_cfg.yaml,638,166788.0,4714056.0,331.0,10583.0,2671796.0,275.0,1106106.0,0.0,10000000.0,0.0,0.0,2705.0,1767771.0,NaN,95.4162674,0.0890782773,0.0,0.0,165653.0,0.0,0.0,258101.0,0.00462899311,1857.0,8183.0,770.0,78.0,770.0,0.0937072709,78.0,1857.0,0.0,78.0,0.0,0.0,157470.0,0.0,1857.0,770.0,2705.0,NaN,NaN
DDR4_3200W_x16_cfg.yaml,644,391136.0,5048775.0,0.0,28251.0,2889827.0,24.0,256393.0,0.0,10000000.0,0.0,0.0,10722.0,1893291.0,NaN,65.5065308,0.214110777,0.0,0.0,413673.0,0.0,0.0,702361.0,0.00438337261,9880.0,8299.0,568.0,274.0,568.0,0.218494147,274.0,9880.0,0.0,274.0,0.0,0.0,405374.0,0.0,9880.0,568.0,10722.0,NaN,NaN
DDR4_3200W_x16_cfg.yaml,649,9909.0,4356964.0,0.0,553.0,2446933.0,184.0,1544168.0,0.0,10000000.0,0.0,0.0,284.0,1633862.0,NaN,95.2640839,0.00821734034,0.0,0.0,15176.0,0.0,0.0,27055.0,0.00107108185,144.0,1750.0,84.0,56.0,84.0,0.00928842183,56.0,144.0,0.0,56.0,0.0,0.0,13426.0,0.0,144.0,84.0,284.0,NaN,NaN
DDR4_3200W_x16_cfg.yaml,654,4479927.0,13499486.0,6.0,842521.0,2434872.0,336680.0,2047134.0,174858.0,10000000.0,0.0,17928.0,191242.0,5062307.0,81.129631,89.6872635,2.00460339,1454492.0,6610707.0,16793198.0,0.0,17928.0,17151972.0,0.00682949508,150022.0,34573.0,7913.0,51229.0,7881.0,3.31730127,34598.0,148762.0,1.30586851,34598.0,32.0,16631.0,10147918.0,1260.0,148762.0,7881.0,191242.0,NaN,NaN
DDR4_3200W_x8_cfg.yaml,600,65856.0,4522741.0,324.0,8345.0,2452283.0,526.0,1518339.0,0.0,10000000.0,0.0,0.0,3487.0,1696028.0,NaN,84.4135361,0.0906199664,0.0,0.0,157205.0,0.0,0.0,294350.0,0.00207013101,2321.0,3511.0,716.0,450.0,716.0,0.0926900953,450.0,2321.0,0.0,450.0,0.0,0.0,153694.0,0.0,2321.0,716.0,3487.0,NaN,NaN
